CPM_RadPath_2019_ID,mpp-x,mpp-y
CPM19_CBICA_AAB_1,0.2515,0.2515
CPM19_CBICA_AAG_1,0.2515,0.2515
CPM19_CBICA_ABE_1,0.2515,0.2515
CPM19_CBICA_ABM_1,0.2515,0.2515
CPM19_CBICA_ABO_1,0.2515,0.2515
CPM19_CBICA_ABT_1,0.2515,0.2515
CPM19_CBICA_ABY_1,0.2515,0.2515
CPM19_CBICA_AKY_1,0.2515,0.2515
CPM19_CBICA_ALP_1,0.2515,0.2515
CPM19_CBICA_ALS_1,0.2515,0.2515
CPM19_CBICA_ALT_1,0.2515,0.2515
CPM19_CBICA_ALU_1,0.2515,0.2515
CPM19_CBICA_ALV_1,0.2515,0.2515
CPM19_CBICA_ALW_1,0.2515,0.2515
CPM19_CBICA_ALX_1,0.2515,0.2515
CPM19_CBICA_ALZ_1,0.2515,0.2515
CPM19_CBICA_AMB_1,0.2515,0.2515
CPM19_CBICA_AMD_1,0.2515,0.2515
CPM19_CBICA_AME_1,0.2515,0.2515
CPM19_CBICA_AMF_1,0.2515,0.2515
CPM19_CBICA_AMG_1,0.2515,0.2515
CPM19_CBICA_AMH_1,0.2515,0.2515
CPM19_CBICA_AMI_1,0.2515,0.2515
CPM19_CBICA_AMK_1,0.2515,0.2515
CPM19_CBICA_AMN_1,0.2515,0.2515
CPM19_CBICA_AMP_1,0.2515,0.2515
CPM19_CBICA_AMQ_1,0.2515,0.2515
CPM19_CBICA_AMS_1,0.2515,0.2515
CPM19_CBICA_AMY_1,0.2515,0.2515
CPM19_CBICA_ANB_1,0.2515,0.2515
CPM19_CBICA_ANG_1,0.2515,0.2515
CPM19_CBICA_ANI_1,0.2515,0.2515
CPM19_CBICA_ANK_1,0.2515,0.2515
CPM19_CBICA_ANP_1,0.2515,0.2515
CPM19_CBICA_ANR_1,0.2515,0.2515
CPM19_CBICA_ANV_1,0.2515,0.2515
CPM19_CBICA_AOQ_1,0.2515,0.2515
CPM19_CBICA_AOS_1,0.2515,0.2515
CPM19_CBICA_AOZ_1,0.2515,0.2515
CPM19_CBICA_ASK_1,0.2515,0.2515
CPM19_CBICA_AUF_1,0.2515,0.2515
CPM19_CBICA_AUX_1,0.2515,0.2515
CPM19_CBICA_AVK_1,0.2515,0.2515
CPM19_CBICA_AXO_1,0.2515,0.2515
CPM19_CBICA_BAP_1,0.2515,0.2515
CPM19_CBICA_BJJ_1,0.2515,0.2515
CPM19_CBICA_BJW_1,0.2515,0.2515
CPM19_CBICA_BKE_1,0.2515,0.2515
CPM19_CBICA_BKZ_1,0.2515,0.2515
CPM19_CBICA_BLT_1,0.2515,0.2515
CPM19_CBICA_BVB_1,0.2515,0.2515
CPM19_CBICA_CCQ_1,0.2515,0.2515
CPM19_CBICA_CCR_1,0.2515,0.2515
CPM19_CBICA_CDA_1,0.2515,0.2515
CPM19_CBICA_CEH_1,0.2515,0.2515
CPM19_CBICA_CEL_1,0.2515,0.2515
CPM19_CBICA_CGA_1,0.2515,0.2515
CPM19_CBICA_CGC_1,0.2515,0.2515
CPM19_CBICA_CGL_1,0.2515,0.2515
CPM19_CBICA_CHI_1,0.2515,0.2515
CPM19_CBICA_CHL_1,0.2515,0.2515
CPM19_CBICA_CHP_1,0.2515,0.2515
CPM19_CBICA_CHW_1,0.2515,0.2515
CPM19_CBICA_CIA_1,0.2515,0.2515
CPM19_CBICA_CIH_1,0.2515,0.2515
CPM19_CBICA_CIQ_1,0.2515,0.2515
CPM19_CBICA_CJF_1,0.2515,0.2515
CPM19_CBICA_CJJ_1,0.2515,0.2515
CPM19_CBICA_CPL_1,0.2515,0.2515
CPM19_CBICA_CPY_1,0.2515,0.2515
CPM19_CBICA_CPZ_1,0.2515,0.2515
CPM19_CBICA_CQK_1,0.2515,0.2515
CPM19_CBICA_CQL_1,0.2515,0.2515
CPM19_TCIA01_131_1,0.2533,0.2533
CPM19_TCIA01_180_1,0.2533,0.2533
CPM19_TCIA01_186_1,0.2533,0.2533
CPM19_TCIA01_190_1,0.501499,0.501499
CPM19_TCIA01_201_1,0.501499,0.501499
CPM19_TCIA01_203_1,0.2533,0.2533
CPM19_TCIA01_231_1,0.502499,0.502499
CPM19_TCIA01_235_1,0.2533,0.2533
CPM19_TCIA01_341_1,0.2533,0.2533
CPM19_TCIA01_378_1,0.501499,0.501499
CPM19_TCIA01_390_1,0.2533,0.2533
CPM19_TCIA01_401_1,0.2533,0.2533
CPM19_TCIA01_425_1,0.501499,0.501499
CPM19_TCIA01_448_1,0.2533,0.2533
CPM19_TCIA01_460_1,0.2533,0.2533
CPM19_TCIA02_135_1,0.501499,0.501499
CPM19_TCIA02_139_1,0.504,0.504
CPM19_TCIA02_168_1,0.501499,0.501499
CPM19_TCIA02_171_1,0.501499,0.501499
CPM19_TCIA02_179_1,0.501499,0.501499
CPM19_TCIA02_208_1,0.501499,0.501499
CPM19_TCIA02_210_1,0.501499,0.501499
CPM19_TCIA02_222_1,0.501499,0.501499
CPM19_TCIA02_226_1,0.504,0.504
CPM19_TCIA02_229_1,0.501499,0.501499
CPM19_TCIA02_273_1,0.504,0.504
CPM19_TCIA02_290_1,0.501499,0.501499
CPM19_TCIA02_309_1,0.501499,0.501499
CPM19_TCIA02_314_1,0.501499,0.501499
CPM19_TCIA02_331_1,0.501499,0.501499
CPM19_TCIA02_350_1,0.501499,0.501499
CPM19_TCIA02_368_1,0.501499,0.501499
CPM19_TCIA02_370_1,0.501499,0.501499
CPM19_TCIA02_374_1,0.501499,0.501499
CPM19_TCIA02_377_1,0.501499,0.501499
CPM19_TCIA02_382_1,0.504,0.504
CPM19_TCIA02_430_1,0.501499,0.501499
CPM19_TCIA02_455_1,0.504,0.504
CPM19_TCIA02_457_1,0.501499,0.501499
CPM19_TCIA02_473_1,0.501499,0.501499
CPM19_TCIA02_496_1,0.501499,0.501499
CPM19_TCIA02_608_1,0.501499,0.501499
CPM19_TCIA03_121_1,0.2525,0.2525
CPM19_TCIA03_133_1,0.2525,0.2525
CPM19_TCIA03_138_1,0.2525,0.2525
CPM19_TCIA03_199_1,0.2525,0.2525
CPM19_TCIA03_216_1,0.2525,0.2525
CPM19_TCIA03_265_1,0.2525,0.2525
CPM19_TCIA03_295_1,0.2525,0.2525
CPM19_TCIA03_296_1,0.2525,0.2525
CPM19_TCIA03_303_1,0.2525,0.2525
CPM19_TCIA03_304_1,0.501499,0.501499
CPM19_TCIA03_318_1,0.501499,0.501499
CPM19_TCIA03_338_1,0.2525,0.2525
CPM19_TCIA03_375_1,0.2525,0.2525
CPM19_TCIA03_419_1,0.501499,0.501499
CPM19_TCIA03_464_1,0.501499,0.501499
CPM19_TCIA03_498_1,0.2525,0.2525
CPM19_TCIA03_604_1,0.501499,0.501499
CPM19_TCIA05_277_1,0.501499,0.501499
CPM19_TCIA05_456_1,0.504,0.504
CPM19_TCIA05_478_1,0.501499,0.501499
CPM19_TCIA05_484_1,0.501499,0.501499
CPM19_TCIA07_600_1,0.252699,0.252699
CPM19_TCIA07_601_1,0.501499,0.501499
CPM19_TCIA10_103_1,0.2525,0.2525
CPM19_TCIA10_130_1,0.2525,0.2525
CPM19_TCIA10_175_1,0.2525,0.2525
CPM19_TCIA10_241_1,0.2525,0.2525
CPM19_TCIA10_261_1,0.252,0.252
CPM19_TCIA10_276_1,0.2525,0.2525
CPM19_TCIA10_307_1,0.2525,0.2525
CPM19_TCIA10_325_1,0.252,0.252
CPM19_TCIA10_346_1,0.2525,0.2525
CPM19_TCIA10_351_1,0.252,0.252
CPM19_TCIA10_410_1,0.2525,0.2525
CPM19_TCIA10_420_1,0.2525,0.2525
CPM19_TCIA10_614_1,0.252599,0.252599
CPM19_TCIA10_627_1,0.252599,0.252599
CPM19_TCIA10_628_1,0.252599,0.252599
CPM19_TCIA10_637_1,0.252599,0.252599
CPM19_TCIA10_639_1,0.252599,0.252599
CPM19_TCIA10_644_1,0.252599,0.252599
CPM19_TCIA10_647_1,0.252599,0.252599
CPM19_TCIA12_613_1,0.252699,0.252699
CPM19_TCIA13_610_1,0.252699,0.252699
CPM19_TCIA13_615_1,0.252699,0.252699
CPM19_TCIA13_616_1,0.2525,0.2525
CPM19_TCIA13_619_1,0.2525,0.2525
CPM19_TCIA13_621_1,0.2525,0.2525
CPM19_TCIA13_623_1,0.252699,0.252699
CPM19_TCIA13_626_1,0.252699,0.252699
CPM19_TCIA13_630_1,0.246799,0.246799
CPM19_TCIA13_633_1,0.2525,0.2525
CPM19_TCIA13_634_1,0.2525,0.2525
CPM19_TCIA13_636_1,0.252699,0.252699
CPM19_TCIA13_638_1,0.2525,0.2525
CPM19_TCIA13_643_1,0.252699,0.252699
CPM19_TCIA13_645_1,0.2525,0.2525
CPM19_TCIA13_646_1,0.2525,0.2525
CPM19_TCIA13_648_1,0.2525,0.2525
CPM19_TCIA13_654_1,0.252699,0.252699
CPM19_TCIA13_655_1,0.2525,0.2525
CPM19_TCIA01_429_1,0.501499,0.501499
CPM19_TCIA01_454_1,0.501499,0.501499
CPM19_TCIA02_117_1,0.252,0.252
CPM19_TCIA02_274_1,0.252,0.252
CPM19_TCIA02_294_1,0.252,0.252
CPM19_TCIA03_313_1,0.501499,0.501499
CPM19_TCIA04_111_1,0.4993,0.4993
CPM19_TCIA04_149_1,0.4993,0.4993
CPM19_TCIA04_192_1,0.4993,0.4993
CPM19_TCIA04_253_1,0.4993,0.4993
CPM19_TCIA04_343_1,0.4993,0.4993
CPM19_TCIA04_361_1,0.4993,0.4993
CPM19_TCIA04_437_1,0.4993,0.4993
CPM19_TCIA04_479_1,0.4993,0.4993
CPM19_TCIA06_165_1,0.252,0.252
CPM19_TCIA06_184_1,0.2457,0.2457
CPM19_TCIA06_211_1,0.252,0.252
CPM19_TCIA06_247_1,0.252,0.252
CPM19_TCIA06_332_1,0.252,0.252
CPM19_TCIA06_372_1,0.252,0.252
CPM19_TCIA06_409_1,0.252,0.252
CPM19_TCIA06_497_1,0.2457,0.2457
CPM19_TCIA06_603_1,0.252,0.252
CPM19_TCIA09_141_1,0.252,0.252
CPM19_TCIA09_248_1,0.252,0.252
CPM19_TCIA09_254_1,0.252,0.252
CPM19_TCIA09_381_1,0.252,0.252
CPM19_TCIA09_385_1,0.252,0.252
CPM19_TCIA09_402_1,0.252,0.252
CPM19_TCIA09_428_1,0.252,0.252
CPM19_TCIA09_493_1,0.252,0.252
CPM19_TCIA10_106_1,0.252,0.252
CPM19_TCIA10_172_1,0.252,0.252
CPM19_TCIA10_195_1,0.252,0.252
CPM19_TCIA10_220_1,0.252,0.252
CPM19_TCIA10_232_1,0.252,0.252
CPM19_TCIA10_236_1,0.252,0.252
CPM19_TCIA10_266_1,0.252,0.252
CPM19_TCIA10_393_1,0.252,0.252
CPM19_TCIA10_408_1,0.252,0.252
CPM19_TCIA10_490_1,0.252,0.252
CPM19_TCIA10_609_1,0.252,0.252
CPM19_TCIA12_298_1,0.252,0.252
CPM19_TCIA12_470_1,0.252,0.252
CPM19_TCIA12_480_1,0.252,0.252
